Event,Elevation [m],Longitude,Latitude,Depth water [m],Symbiosis,Spinose,export_n_m2_d,export_mmolC_m2_d,prop
Benguela_trap,-595,12.98,-23,545,No,No,8498,0.5984008333333334,0.7841894801599507
Benguela_trap,-595,12.98,-23,545,No,Yes,2338.666666666667,0.16468111111111114,0.21581051984004923
Benguela_trap,-595,12.98,-23,545,Undetermined,Undetermined,0,0,0
Benguela_trap,-595,12.98,-23,545,Yes,No,0,0,0
Benguela_trap,-595,12.98,-23,545,Yes,Yes,0,0,0
Benguela_trap,-595,12.98,-23,545,NA,NA,0,0,0
CB1_trap,-3646,-19.742,20.755,2195,No,No,24.946153846153845,0.001756625,0.2136926726410121
CB1_trap,-3646,-19.742,20.755,2195,No,Yes,41.45384615384616,0.002919041666666667,0.3551001581444386
CB1_trap,-3646,-19.742,20.755,2195,Undetermined,Undetermined,0,0,0
CB1_trap,-3646,-19.742,20.755,2195,Yes,No,0,0,0
CB1_trap,-3646,-19.742,20.755,2195,Yes,Yes,50.33846153846154,0.0035446666666666665,0.43120716921454927
CB1_trap,-3646,-19.742,20.755,2195,NA,NA,0,0,0
CB2_trap,-4092,-20.687,21.145,3502,No,No,89.95454545454545,0.006334299242424242,0.19719994021224654
CB2_trap,-4092,-20.687,21.145,3502,No,Yes,90.38181818181819,0.006364386363636364,0.19813661501669078
CB2_trap,-4092,-20.687,21.145,3502,Undetermined,Undetermined,0,0,0
CB2_trap,-4092,-20.687,21.145,3502,Yes,No,0,0,0
CB2_trap,-4092,-20.687,21.145,3502,Yes,Yes,275.82272727272726,0.019422517045454543,0.6046634447710627
CB2_trap,-4092,-20.687,21.145,3502,NA,NA,0,0,0
CB3_trap,-4094,-20.672,21.138,0,No,No,283.7063333333333,0.019977654305555554,0.2550108798917379
CB3_trap,-4094,-20.672,21.138,0,No,Yes,107.68966666666667,0.007583147361111111,0.09679740430626489
CB3_trap,-4094,-20.672,21.138,0,Undetermined,Undetermined,0.9922222222222221,6.986898148148147e-5,8.918639882449728e-4
CB3_trap,-4094,-20.672,21.138,0,Yes,No,323.4722777777778,0.022777839560185184,0.2907547011993473
CB3_trap,-4094,-20.672,21.138,0,Yes,Yes,396.66588888888884,0.027931889675925924,0.35654515061440484
CB3_trap,-4094,-20.672,21.138,0,NA,NA,0,0,0
CB3_trap,-4094,-20.672,21.138,730,No,No,219.36666666666667,0.015447069444444446,0.44067229141556175
CB3_trap,-4094,-20.672,21.138,730,No,Yes,95.6277777777778,0.006733789351851853,0.19210079907147004
CB3_trap,-4094,-20.672,21.138,730,Undetermined,Undetermined,0,0,0
CB3_trap,-4094,-20.672,21.138,730,Yes,No,0,0,0
CB3_trap,-4094,-20.672,21.138,730,Yes,Yes,182.80555555555557,0.012872557870370371,0.36722690951296816
CB3_trap,-4094,-20.672,21.138,730,NA,NA,0,0,0
CB3_trap,-4094,-20.672,21.138,3557,No,No,182.7,0.012865125,0.45041602465331276
CB3_trap,-4094,-20.672,21.138,3557,No,Yes,56.95,0.004010229166666667,0.14040061633281972
CB3_trap,-4094,-20.672,21.138,3557,Undetermined,Undetermined,0,0,0
CB3_trap,-4094,-20.672,21.138,3557,Yes,No,0,0,0
