Event,Elevation [m],Depth water [m],Longitude,Latitude,Symbiosis,Spinose,export,grid_thickness,organic_export_m3,inorganic_export_m3,prop
Benguela_trap,-595,545,12.98,-23,No,No,127470,147.22389999999996,0.06096844669921121,0.021948640811716037,0.7841894801599508
Benguela_trap,-595,545,12.98,-23,No,Yes,35080,147.22389999999996,0.016778638975510546,0.006040310031183797,0.2158105198400492
Benguela_trap,-595,545,12.98,-23,Undetermined,Undetermined,0,147.22389999999996,0,0,0
Benguela_trap,-595,545,12.98,-23,Yes,No,0,147.22389999999996,0,0,0
Benguela_trap,-595,545,12.98,-23,Yes,Yes,0,147.22389999999996,0,0,0
Benguela_trap,-595,545,12.98,-23,NA,NA,0,147.22389999999996,0,0,0
CB1_trap,-3646,2195,-19.742,20.755,No,No,324.3,420.3273000000004,5.432938807448382e-5,1.9558579706814173e-5,0.21369267264101213
CB1_trap,-3646,2195,-19.742,20.755,No,Yes,538.9,420.3273000000004,9.028093503959089e-5,3.250113661425272e-5,0.35510015814443857
CB1_trap,-3646,2195,-19.742,20.755,Undetermined,Undetermined,0,420.3273000000004,0,0,0
CB1_trap,-3646,2195,-19.742,20.755,Yes,No,0,420.3273000000004,0,0,0
CB1_trap,-3646,2195,-19.742,20.755,Yes,Yes,654.4,420.3273000000004,1.09630439580457e-4,3.946695824896452e-5,0.4312071692145493
CB1_trap,-3646,2195,-19.742,20.755,NA,NA,0,420.3273000000004,0,0,0
CB2_trap,-4092,3502,-20.687,21.145,No,No,1979,567.2331999999997,2.4567423651036894e-4,8.844272514373283e-5,0.19719994021224652
CB2_trap,-4092,3502,-20.687,21.145,No,Yes,1988.3999999999999,567.2331999999997,2.4684115809864456e-4,8.886281691551205e-5,0.19813661501669075
CB2_trap,-4092,3502,-20.687,21.145,Undetermined,Undetermined,0,567.2331999999997,0,0,0
CB2_trap,-4092,3502,-20.687,21.145,Yes,No,0,567.2331999999997,0,0,0
CB2_trap,-4092,3502,-20.687,21.145,Yes,Yes,6068.0999999999995,567.2331999999997,7.532975414697169e-4,2.711871149290981e-4,0.6046634447710627
CB2_trap,-4092,3502,-20.687,21.145,NA,NA,0,567.2331999999997,0,0,0
CB3_trap,-4094,0,-20.672,21.138,No,No,5106.714,80.8407,0.004448226914165761,0.0016013616890996737,0.25501087989173793
CB3_trap,-4094,0,-20.672,21.138,No,Yes,1938.414,80.8407,0.0016884645048842973,6.078472217583469e-4,0.0967974043062649
CB3_trap,-4094,0,-20.672,21.138,Undetermined,Undetermined,17.86,80.8407,1.5557035833023052e-5,5.600532899888299e-6,8.91863988244973e-4
CB3_trap,-4094,0,-20.672,21.138,Yes,No,5822.501,80.8407,0.00507171650026946,0.0018258179400970056,0.2907547011993474
CB3_trap,-4094,0,-20.672,21.138,Yes,Yes,7139.986,80.8407,0.006219317919892661,0.002238954451161358,0.35654515061440495
CB3_trap,-4094,0,-20.672,21.138,NA,NA,0,80.8407,0,0,0
CB3_trap,-4094,730,-20.672,21.138,No,No,3948.6,198.67919999999992,0.0013994784053891905,5.038122259401087e-4,0.4406722914155618
CB3_trap,-4094,730,-20.672,21.138,No,Yes,1721.3000000000002,198.67919999999992,6.100699435740299e-4,2.1962517968665074e-4,0.19210079907147004
CB3_trap,-4094,730,-20.672,21.138,Undetermined,Undetermined,0,198.67919999999992,0,0,0
CB3_trap,-4094,730,-20.672,21.138,Yes,No,0,198.67919999999992,0,0,0
CB3_trap,-4094,730,-20.672,21.138,Yes,Yes,3290.5,198.67919999999992,0.0011662320044909923,4.198435216167572e-4,0.3672269095129682
CB3_trap,-4094,730,-20.672,21.138,NA,NA,0,198.67919999999992,0,0,0
CB3_trap,-4094,3557,-20.672,21.138,No,No,2923.2000000000003,567.2331999999997,3.6288778583482093e-4,1.3063960290053553e-4,0.4504160246533128
CB3_trap,-4094,3557,-20.672,21.138,No,Yes,911.2,567.2331999999997,1.131169097060375e-4,4.07220874941735e-5,0.14040061633281972
CB3_trap,-4094,3557,-20.672,21.138,Undetermined,Undetermined,0,567.2331999999997,0,0,0
CB3_trap,-4094,3557,-20.672,21.138,Yes,No,0,567.2331999999997,0,0,0
CB3_trap,-4094,3557,-20.672,21.138,Yes,Yes,2655.6,567.2331999999997,3.2966776274731465e-4,1.1868039458903329e-4,0.4091833590138675
CB3_trap,-4094,3557,-20.672,21.138,NA,NA,0,567.2331999999997,0,0,0
CB4_trap,-4108,733,-20.687,21.145,No,No,896.4,198.67919999999992,3.177056279670948e-4,1.1437402606815413e-4,0.6051441301559441
CB4_trap,-4108,733,-20.687,21.145,No,Yes,457.7,198.67919999999992,1.6221984149993225e-4,5.839914293997562e-5,0.3089853507054614
CB4_trap,-4108,733,-20.687,21.145,Undetermined,Undetermined,0,198.67919999999992,0,0,0
CB4_trap,-4108,733,-20.687,21.145,Yes,No,0,198.67919999999992,0,0,0
CB4_trap,-4108,733,-20.687,21.145,Yes,Yes,127.2,198.67919999999992,4.508272632464799e-5,1.6229781476873278e-5,0.08587051913859448
CB4_trap,-4108,733,-20.687,21.145,NA,NA,0,198.67919999999992,0,0,0
CB4_trap,-4108,3562,-20.687,21.145,No,No,557.6,567.2331999999997,6.922079549175429e-5,2.4919486377031545e-5,0.54453125
CB4_trap,-4108,3562,-20.687,21.145,No,Yes,338.4,567.2331999999997,4.200917717792261e-5,1.512330378405214e-5,0.33046875
CB4_trap,-4108,3562,-20.687,21.145,Undetermined,Undetermined,0,567.2331999999997,0,0,0
CB4_trap,-4108,3562,-20.687,21.145,Yes,No,0,567.2331999999997,0,0,0
CB4_trap,-4108,3562,-20.687,21.145,Yes,Yes,128,567.2331999999997,1.5889996095668127e-5,5.720398594440526e-6,0.125
CB4_trap,-4108,3562,-20.687,21.145,NA,NA,0,567.2331999999997,0,0,0
CB5_trap,-4119,3587,-20.6817,21.1433,No,No,6388,658.8793599999999,6.82707175205286e-4,2.4577458307390294e-4,0.7696571001710886
CB5_trap,-4119,3587,-20.6817,21.1433,No,Yes,1517.2,658.8793599999999,1.6214829778044145e-4,5.8373387200958916e-5,0.1827995855321815
CB5_trap,-4119,3587,-20.6817,21.1433,Undetermined,Undetermined,0,658.8793599999999,0,0,0
CB5_trap,-4119,3587,-20.6817,21.1433,Yes,No,0,658.8793599999999,0,0,0
CB5_trap,-4119,3587,-20.6817,21.1433,Yes,Yes,394.59999999999997,658.8793599999999,4.217223721603097e-5,1.518200539777115e-5,0.04754331429673004
CB5_trap,-4119,3587,-20.6817,21.1433,NA,NA,0,658.8793599999999,0,0,0
CBBT-88/89_trap,-3263,950,84.35,13.15,No,No,0,230.80190000000005,0,0,0
CBBT-88/89_trap,-3263,950,84.35,13.15,No,Yes,740,230.80190000000005,2.2577081615590393e-4,8.127749381612542e-5,0.39174166225516144
CBBT-88/89_trap,-3263,950,84.35,13.15,Undetermined,Undetermined,0,230.80190000000005,0,0,0
CBBT-88/89_trap,-3263,950,84.35,13.15,Yes,No,0,230.80190000000005,0,0,0
CBBT-88/89_trap,-3263,950,84.35,13.15,Yes,Yes,1149,230.80190000000005,3.5055495643666705e-4,1.2619978431720015e-4,0.6082583377448385
CBBT-88/89_trap,-3263,950,84.35,13.15,NA,NA,0,230.80190000000005,0,0,0
CBBT-88/89_trap,-3263,2286,84.35,13.15,No,No,0,420.3273000000004,0,0,0
CBBT-88/89_trap,-3263,2286,84.35,13.15,No,Yes,539,420.3273000000004,9.029768785737519e-5,3.250716762865507e-5,0.3235294117647059
CBBT-88/89_trap,-3263,2286,84.35,13.15,Undetermined,Undetermined,0,420.3273000000004,0,0,0
CBBT-88/89_trap,-3263,2286,84.35,13.15,Yes,No,0,420.3273000000004,0,0,0
CBBT-88/89_trap,-3263,2286,84.35,13.15,Yes,Yes,1127,420.3273000000004,1.888042564290572e-4,6.79695323144606e-5,0.6764705882352942
CBBT-88/89_trap,-3263,2286,84.35,13.15,NA,NA,0,420.3273000000004,0,0,0
CH3-1_trap,-4360,2333,-73.18333,-30.0175,No,No,69083.3,420.3273000000004,0.011573399368381091,0.004166423772617192,0.686938744258797
CH3-1_trap,-4360,2333,-73.18333,-30.0175,No,Yes,31050.1,420.3273000000004,0.005201766674842829,0.0018726360029434187,0.3087506923252084
CH3-1_trap,-4360,2333,-73.18333,-30.0175,Undetermined,Undetermined,0,420.3273000000004,0,0,0
